Part Num,Gender,Age,Reside,Student,N4U1,N4U2,N4U3,N4U4,N4U5,N4U6,N4U7,N4U8,N4U9,N4U10,N4U11,N4U12,N4U13,N4U14,N4U15,N4U16,N4U17,N4U18,N4U19,N4U20,N4U21,N4U22,N4U23,N4U24,N4U25,N4U26,N4U27,N4U28,N4U29,N4U30,N4U31,N4U32,N4UTOT,N4U-1,N4U-2,N4U-3
334,1,20,1,1,3,3,3,3,3,3,2,1,3,4,2,3,2,2,2,2,3,5,2,3,3,2,2,4,4,4,2,3,3,4,2,4,91,39,36,16
335,1,19,1,1,4,4,5,5,3,1,5,1,3,4,4,1,4,3,4,4,4,3,5,3,3,4,4,4,4,4,4,4,3,3,3,3,113,56,36,21
336,1,19,1,1,4,1,2,2,4,1,2,4,4,1,1,2,4,1,2,5,2,3,2,2,3,2,4,4,3,4,2,1,1,2,4,1,80,39,19,22
337,1,18,1,1,4,3,4,4,5,1,3,4,2,4,4,4,2,2,3,4,4,3,4,2,3,4,3,4,4,4,4,3,4,3,3,3,108,53,32,23
338,2,20,1,1,3,3,2,3,2,1,3,2,4,2,3,3,2,3,3,2,2,3,2,3,2,3,3,4,4,3,4,3,3,3,3,3,89,42,29,18
339,2,19,1,1,3,4,4,4,4,1,4,1,2,3,4,4,4,3,2,3,4,5,4,3,3,3,4,3,4,4,4,4,4,3,4,3,109,57,36,16
340,2,22,1,1,4,2,2,4,1,3,4,5,1,4,2,3,2,2,4,4,2,4,2,3,4,3,2,4,5,2,3,3,4,3,2,3,96,32,38,26
341,2,20,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,94,45,33,16
342,2,21,1,1,4,3,1,3,2,1,4,2,4,3,4,3,2,3,2,3,3,3,4,2,3,4,4,2,4,3,3,1,4,4,3,3,94,44,33,17
343,1,25,1,1,4,2,4,4,2,1,3,4,2,1,2,2,4,2,4,4,4,5,4,5,3,5,4,4,4,5,4,4,5,4,2,4,111,50,37,24
344,2,18,1,1,3,2,2,2,3,1,3,2,3,3,4,2,3,2,2,3,2,2,4,2,3,4,2,3,3,4,4,4,1,3,3,3,87,46,25,16
345,2,18,1,1,3,1,2,3,1,1,5,1,4,1,5,2,5,1,3,2,3,1,3,2,3,3,4,1,2,5,2,3,3,3,3,2,83,46,25,12
346,1,19,1,1,4,1,3,4,4,1,1,1,4,5,2,5,2,2,4,4,4,5,4,4,5,4,4,4,4,4,4,3,2,3,4,4,109,52,36,21
347,2,20,1,1,3,1,2,4,2,1,5,2,3,4,3,2,3,2,3,2,4,2,4,3,3,3,5,2,4,4,3,3,4,3,4,4,97,46,35,16
348,1,19,1,1,4,4,3,3,3,1,5,1,3,2,4,2,3,2,3,3,3,2,3,2,3,3,3,2,4,3,3,3,3,3,2,3,91,45,29,17
349,2,19,1,1,1,1,2,3,3,1,1,4,4,1,2,2,3,2,1,1,2,1,2,3,2,5,4,1,5,3,2,5,1,2,3,2,75,43,19,13
350,1,20,1,1,4,2,2,5,3,2,5,1,2,4,4,3,1,3,4,4,4,4,4,5,5,3,5,4,4,4,4,3,2,3,3,4,110,47,42,21
351,1,42,1,1,3,2,2,2,4,1,2,1,5,3,4,4,3,3,2,4,2,4,2,2,4,3,4,2,4,4,3,3,3,3,4,3,95,49,30,16
352,2,20,1,1,4,2,2,3,2,1,3,2,2,2,3,2,4,2,2,2,2,2,2,3,2,2,4,2,3,4,4,2,3,4,2,2,81,39,27,15
353,2,18,1,1,4,3,2,2,2,1,4,1,4,3,4,4,3,3,3,3,5,2,5,4,4,3,4,2,3,4,3,3,3,3,4,3,101,53,32,16
354,2,20,1,1,1,1,1,4,2,2,4,1,1,4,1,2,2,2,1,1,3,2,2,4,4,1,2,1,3,3,2,2,2,3,2,4,70,27,35,8
355,2,19,1,1,3,3,2,3,3,2,5,2,2,4,3,3,3,4,3,3,3,3,4,4,3,4,3,3,4,3,4,4,4,3,3,3,103,47,38,18
356,2,19,1,1,2,2,2,3,3,1,2,3,2,1,2,4,5,1,2,3,2,1,2,1,3,3,2,1,4,5,2,2,3,1,2,1,73,40,18,15
357,2,18,1,1,2,2,2,2,2,1,4,2,3,4,2,4,3,3,3,2,2,2,4,4,3,4,2,2,4,3,4,3,2,3,3,4,90,43,32,15
358,2,19,1,1,4,3,2,4,4,3,2,4,4,3,2,2,3,2,3,3,2,4,4,5,1,3,1,3,5,5,3,4,4,2,4,4,102,46,34,22
359,2,20,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,96,45,33,18
360,2,20,1,1,1,4,3,4,1,4,3,2,5,2,3,4,1,2,3,2,5,2,3,4,5,2,3,2,1,4,3,2,5,4,3,2,94,46,37,11
361,2,21,1,1,5,2,4,4,2,1,5,1,4,2,4,4,4,2,4,4,3,2,5,3,4,2,3,4,4,4,4,4,4,3,2,3,106,51,33,22
362,2,19,1,1,4,2,2,3,2,2,3,2,2,4,2,4,4,1,1,2,2,3,2,1,2,3,2,3,4,4,3,2,2,2,2,3,80,38,26,16
363,2,19,1,1,2,2,2,5,3,2,3,4,1,5,1,3,2,4,2,2,4,2,5,2,4,2,4,3,5,5,2,2,4,3,3,5,98,41,39,18
364,2,26,1,1,2,1,1,5,3,2,5,1,2,1,5,1,5,5,1,1,4,1,5,1,1,5,1,3,3,3,5,4,1,5,3,5,91,48,32,11
365,2,18,1,1,2,2,3,3,4,1,3,2,4,3,3,3,3,2,3,3,4,5,4,2,4,4,3,3,4,4,4,4,4,2,4,3,102,53,32,17
366,2,21,1,1,2,3,3,3,3,1,3,2,3,3,4,3,3,2,3,3,2,4,2,3,4,3,4,3,3,3,3,2,4,2,3,4,93,44,33,16
367,2,19,1,1,2,1,3,3,4,1,1,1,3,2,4,3,4,2,2,2,1,2,2,2,5,2,2,2,3,2,4,4,2,3,2,4,80,41,27,12
368,2,25,1,1,5,1,2,4,3,3,3,3,3,2,4,3,3,2,4,4,1,5,1,4,4,2,3,3,3,3,3,4,2,2,4,2,95,40,33,22
369,2,19,1,1,4,1,2,3,1,1,5,3,1,4,1,2,2,2,1,2,4,5,2,1,1,1,5,2,4,3,2,2,5,2,4,4,82,33,33,16
370,2,21,1,1,4,2,2,2,5,1,3,3,1,5,4,2,5,3,4,1,2,2,4,4,4,4,4,4,5,5,5,3,3,2,2,4,104,50,33,21
371,2,20,1,1,2,2,3,4,4,3,4,1,3,3,2,2,4,2,2,2,2,2,4,2,2,4,4,2,4,3,4,2,2,2,2,2,86,45,28,13
372,2,20,1,1,2,2,2,4,1,2,2,2,3,3,2,2,3,2,2,2,2,3,2,2,3,4,2,3,3,2,2,2,2,2,2,2,74,33,27,14
373,2,20,1,1,2,2,4,4,2,1,4,2,2,3,2,4,3,4,4,4,4,3,2,4,4,3,4,3,3,4,4,4,4,3,4,4,104,48,38,18
374,2,19,1,1,4,3,3,2,5,5,4,3,4,4,3,5,5,3,4,5,3,3,1,1,3,5,4,3,5,3,2,2,3,2,2,2,106,50,32,24
375,2,21,1,1,3,1,3,3,4,1,3,1,2,4,4,3,4,3,4,3,4,2,3,3,2,4,2,3,4,4,4,3,2,3,3,4,96,48,30,18
376,2,20,1,1,1,2,3,3,3,1,4,2,5,3,5,2,5,3,2,2,2,1,2,1,2,5,1,1,3,4,5,2,3,2,4,1,85,50,24,11
377,2,19,1,1,3,2,4,3,3,3,3,2,3,4,3,4,3,3,4,3,3,4,3,4,3,4,3,4,4,3,4,2,4,4,4,4,107,48,39,20
378,2,20,1,1,4,3,4,3,3,1,2,3,5,2,5,2,5,3,2,4,3,1,4,1,3,4,3,4,4,4,4,4,4,4,3,2,103,56,26,21
379,2,19,1,1,2,2,2,2,3,1,2,1,2,2,2,2,3,3,1,1,3,3,2,3,3,2,4,2,3,3,2,2,3,3,3,3,75,37,28,10
380,2,19,1,1,1,2,3,4,2,1,5,1,2,5,2,1,2,4,2,2,4,2,4,4,2,5,4,1,4,4,5,2,4,5,2,4,95,44,40,11
381,2,21,1,1,3,2,4,4,5,1,2,4,4,3,4,4,5,1,4,4,4,5,3,4,2,2,3,3,1,2,2,2,2,4,4,4,101,50,32,19
382,2,39,1,1,2,1,3,2,3,1,3,3,4,3,5,1,4,2,1,1,4,5,4,1,3,1,3,5,4,3,5,5,3,4,5,1,95,51,28,16
383,1,48,1,1,3,2,2,4,4,4,3,2,4,4,2,3,3,4,4,4,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,88,38,33,17
